,School,Type,Zip,Lat,Long
143,GRAHAM,High School,60616,41.84967542,-87.62531482
85,HANCOCK,High School,60629,41.79146391,-87.72447046
93,HARLAN,High School,60628,41.71837235,-87.62062344
94,HARPER,High School,60636,41.77512408,-87.6690893
95,HIRSCH,High School,60619,41.75374796,-87.60172727
142,HOPE,High School,60621,41.79355347,-87.64124411
123,HUBBARD,High School,60629,41.78052639,-87.71801374
96,HYDE PARK,High School,60637,41.78225693,-87.58661501
156,INFINITY,High School,60623,41.83616882,-87.73527796
30,INSTITUTO - HEALTH,High School,60608,41.84596659,-87.68724016
60,INSTITUTO - LOZANO,High School,60608,41.84544602,-87.68406494
66,INTRINSIC,High School,60641,41.93898843,-87.74112863
145,JEFFERSON,High School,60612,41.86783229,-87.68041755
77,JONES,High School,60605,41.87306592,-87.62767532
140,JUAREZ,High School,60608,41.85267014,-87.66433931
139,JULIAN,High School,60643,41.70585894,-87.65374921
97,KELLY,High School,60632,41.81872906,-87.69463866
98,KELVYN PARK,High School,60639,41.9279184,-87.73599882
100,KENNEDY,High School,60638,41.78996125,-87.78083976
126,KENWOOD,High School,60615,41.80377212,-87.59042089
130,KING,High School,60653,41.81367545,-87.60387386
101,LAKE VIEW,High School,60613,41.95476407,-87.66895269
102,LANE TECH,High School,60618,41.94664458,-87.69101263
37,LEGAL PREP,High School,60624,41.88173276,-87.73377838
119,LINCOLN PARK,High School,60614,41.91826831,-87.64600936
161,LINDBLOM,High School,60636,41.7820408,-87.67166185
52,LITTLE BLACK PEARL,High School,60653,41.8096955,-87.59933994
188,MAGIC JOHNSON - BRAINERD,High School,60620,41.7314923,-87.66313973
187,MAGIC JOHNSON - HUMBOLDT PK,High School,60622,41.90292503,-87.68788899
180,MAGIC JOHNSON - N LAWNDALE,High School,60624,41.86647785,-87.70660368
181,MAGIC JOHNSON - ROSELAND,High School,60661,41.69515984,-87.64269697
103,MANLEY,High School,60612,41.87093896,-87.69989559
144,MARINE LEADERSHIP AT AMES,High School,60647,41.91604463,-87.72174232
104,MARSHALL,High School,60624,41.87844409,-87.70805007
105,MATHER,High School,60659,41.98758868,-87.7024964
106,MORGAN PARK,High School,60643,41.69203501,-87.66565755
157,MULTICULTURAL,High School,60623,41.83528187,-87.7352833
68,NOBLE - ACADEMY,High School,60610,41.9068788,-87.64557694
64,NOBLE - BAKER,High School,60617,41.73462237,-87.55620144
27,NOBLE - BULLS,High School,60612,41.87880881,-87.67819526
63,NOBLE - BUTLER,High School,60628,41.70666686,-87.60257332
9,NOBLE - COMER,High School,60619,41.76525228,-87.60416375
36,NOBLE - DRW,High School,60624,41.86932808,-87.71165423
10,NOBLE - GOLDER,High School,60642,41.89528219,-87.664483
35,NOBLE - HANSBERRY,High School,60620,41.73444162,-87.65098673
67,NOBLE - ITW SPEER,High School,60639,41.91726641,-87.75967517
32,NOBLE - JOHNSON,High School,60621,41.7783695,-87.6351167
